# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
bang shang wu ming 	榜上無名	c=1 d=6.97394e-55 t=379685
bang shou 	幫手	c=4 d=1.00413e-19 t=379685
bang shui 	傍水	c=1 d=1 t=62572
bang wan 	傍晚	c=11 d=0.0122169 t=379685
bang wo 	幫我	c=2 d=4.73951e-246 t=379685
bang zhu 	幫主	c=1 d=0 t=379685
bang zhu 	幫助	c=82 d=4.88428e-12 t=379685
bang zhu 	綁住	c=1 d=6.16417e-191 t=379685
bao 	保	c=6 d=8.94224e-68 t=379685
bao 	包	c=104 d=0.0134084 t=379685
bao 	堡	c=2 d=6.06737e-05 t=379685
bao 	報	c=25 d=2.32394e-09 t=379685
bao 	寶	c=21 d=9.60208e-19 t=379685
bao 	抱	c=4 d=3.51811e-34 t=379685
bao 	煲	c=6 d=5.68926e-193 t=379685
bao 	爆	c=12 d=1.07284e-33 t=379685
bao 	薄	c=1 d=5.98281e-222 t=379685
bao 	飽	c=8 d=8.6995e-09 t=379685
bao an 	保安	c=9 d=7.05386e-42 t=379685
bao an 	報案	c=3 d=2.56749e-244 t=379685
bao bao 	寶寶	c=125 d=0.659664 t=379685
bao bao 	抱抱	c=1 d=1.51176e-156 t=379685
bao bei 	報備	c=1 d=0.154896 t=379685
bao bei 	寶貝	c=3 d=5.67734e-252 t=379685
bao biao 	保鏢	c=1 d=1.18065e-130 t=379685
bao biao 	報表	c=44 d=0.00412784 t=379685
bao biao 	爆表	c=1 d=0 t=379685
bao bing 	抱冰	c=4 d=0.155673 t=379685
bao chi 	保持	c=52 d=3.10473e-05 t=379685
bao cun 	保存	c=56 d=0.00082099 t=379685
bao cun hou 	保存後	c=1 d=0 t=379685
bao cuo 	報錯	c=102 d=0.400517 t=379685
bao dai bang 	保代邦	c=3 d=1.30856e-247 t=379685
bao dan 	保單	c=18 d=7.15679e-36 t=379685
bao dao 	報道	c=3 d=0.00511798 t=379685
bao dao 	寶島	c=1 d=9.68184e-238 t=379685
bao dao zheng 	報道證	c=9 d=2.2664e-309 t=379685
bao fa 	爆發	c=4 d=0.0247235 t=379685
bao gao 	報告	c=36 d=8.09729e-18 t=379685
bao gao ting 	報告廳	c=1 d=1 t=81506
bao guan 	保管	c=1 d=0 t=379685
bao gui 	寶貴	c=1 d=3.28991e-157 t=379685
bao guo 	包裹	c=7 d=6.7782e-73 t=379685
bao han 	包含	c=100 d=0.904837 t=379685
bao han 	飽含	c=1 d=0 t=379685
bao hao 	爆好	c=3 d=1.15651e-85 t=379685
bao he 	寶盒	c=1 d=0 t=379685
bao hu 	保護	c=24 d=1.56633e-05 t=379685
bao hu ke 	保護殼	c=2 d=1.44561e-268 t=379685
bao hu tao 	保護套	c=2 d=7.12815e-77 t=379685
bao hu xing 	保護性	c=1 d=3.24918e-40 t=379685
bao huo 	保活	c=1 d=1 t=47203
bao ji ban dao 	保集半島	c=1 d=1.20512e-136 t=379685
bao jia 	保價	c=1 d=1 t=79439
bao jia 	報價	c=26 d=5.50469e-165 t=379685
bao jian cao 	保健操	c=0 d=0.1 t=20223
bao jiao bao hui 	包教包會	c=1 d=0 t=379685
bao jin 	保金	c=12 d=8.68778e-243 t=379685
bao jing 	報警	c=82 d=1.15001 t=379685
bao jing qi 	報警器	c=7 d=2.59609e-303 t=379685
bao jing sheng 	報警聲	c=1 d=0 t=379685
bao ke 	包殼	c=1 d=1 t=30650
bao kuo 	包括	c=131 d=7.19538e-11 t=379685
bao lei 	暴雷	c=1 d=0 t=379685
bao li 	包裏	c=2 d=3.36595e-73 t=379685
bao li 	暴力	c=1 d=1.69116e-93 t=379685
bao liang 	保量	c=2 d=1.57407 t=49440
bao liao 	爆料	c=3 d=6.01656e-161 t=379685
bao lie 	暴烈	c=2 d=9.17088e-205 t=379685
